itemid	abstractid	name	品质	icon	icon灰	类型	叠加数量	物品描述	等级	商店价格	回收价格	回购价格	姓名	国家	将卡类型	picture	升级材料	升级材料数量	升级材料magicid	升级所得物品	升级价格	人物等级	脚本	miniicon	委任技能icon	最高倍率	通告	TAB_VERSION
8259	25254	臧霸	9	UI_Mini_ZangBa.img		6	1			0	45000	45000	UI_Info_ZangBa.img	20	1	UI_Img_ZangBa.img	3				2000			UI_Mini_ZangBa.img	UI_Info_ZangBa.img	8	-1	
8260	25260	荀彧	0	UI_Mini_XunYu.img		6	1			200	100	100	UI_Info_XunYu.img	10	0	UI_Img_XunYu.img	3			8261	2000			UI_Mini_XunYu.img	UI_Info_XunYu.img	8	0	
8261	25261	荀彧	1	UI_Mini_XunYu.img		6	1			800	380	380	UI_Info_XunYu.img	10	0	UI_Img_XunYu.img	3			8262	2000			UI_Mini_XunYu.img	UI_Info_XunYu.img	8	0	
8262	25262	荀彧	2	UI_Mini_XunYu.img		6	1			3200	1500	1500	UI_Info_XunYu.img	10	0	UI_Img_XunYu.img	3			8263	2000			UI_Mini_XunYu.img	UI_Info_XunYu.img	8	0	
8263	25263	荀彧	3	UI_Mini_XunYu.img		6	1			12800	5000	5000	UI_Info_XunYu.img	10	0	UI_Img_XunYu.img	3			8264	2000			UI_Mini_XunYu.img	UI_Info_XunYu.img	8	2	
8264	25264	荀彧	4	UI_Mini_XunYu.img		6	1			51200	20000	20000	UI_Info_XunYu.img	10	0	UI_Img_XunYu.img	4200|4201|4202	5|5|10	0|0|0	8265	20000			UI_Mini_XunYu.img	UI_Info_XunYu.img	8	-1	
8265	25265	荀彧	5	UI_Mini_XunYu.img		6	1			0	25000	25000	UI_Info_XunYu.img	10	0	UI_Img_XunYu.img	4200|4201|4203	20|20|20	0|0|0	8266	50000			UI_Mini_XunYu.img	UI_Info_XunYu.img	8	-1	
8266	25266	荀彧	6	UI_Mini_XunYu.img		6	1			0	30000	30000	UI_Info_XunYu.img	10	0	UI_Img_XunYu.img	4200|4201|4204	80|80|50	0|0|0	8267	200000			UI_Mini_XunYu.img	UI_Info_XunYu.img	8	-1	
8267	25267	荀彧	7	UI_Mini_XunYu.img		6	1			0	35000	35000	UI_Info_XunYu.img	10	0	UI_Img_XunYu.img	4200|4201|4205	240|240|160	0|0|0	8268	1000000			UI_Mini_XunYu.img	UI_Info_XunYu.img	8	-1	
8268	25268	荀彧	8	UI_Mini_XunYu.img		6	1			0	40000	40000	UI_Info_XunYu.img	10	0	UI_Img_XunYu.img	4200|4201|4206	255|255|200	0|0|0	8269	4000000			UI_Mini_XunYu.img	UI_Info_XunYu.img	8	-1	
8269	25269	荀彧	9	UI_Mini_XunYu.img		6	1			0	45000	45000	UI_Info_XunYu.img	10	0	UI_Img_XunYu.img	3				2000			UI_Mini_XunYu.img	UI_Info_XunYu.img	8	-1	
8270	25270	荀攸	0	UI_Mini_XunYou.img		6	1			200	100	100	UI_Info_XunYou.img	10	1	UI_Img_XunYou.img	3			8271	2000			UI_Mini_XunYou.img	UI_Info_XunYou.img	8	0	
8271	25271	荀攸	1	UI_Mini_XunYou.img		6	1			800	380	380	UI_Info_XunYou.img	10	1	UI_Img_XunYou.img	3			8272	2000			UI_Mini_XunYou.img	UI_Info_XunYou.img	8	0	
8272	25272	荀攸	2	UI_Mini_XunYou.img		6	1			3200	1500	1500	UI_Info_XunYou.img	10	1	UI_Img_XunYou.img	3			8273	2000			UI_Mini_XunYou.img	UI_Info_XunYou.img	8	0	
8273	25273	荀攸	3	UI_Mini_XunYou.img		6	1			12800	5000	5000	UI_Info_XunYou.img	10	1	UI_Img_XunYou.img	3			8274	2000			UI_Mini_XunYou.img	UI_Info_XunYou.img	8	2	
8274	25274	荀攸	4	UI_Mini_XunYou.img		6	1			51200	20000	20000	UI_Info_XunYou.img	10	1	UI_Img_XunYou.img	4200|4201|4202	5|5|10	0|0|0	8275	20000			UI_Mini_XunYou.img	UI_Info_XunYou.img	8	-1	
8275	25275	荀攸	5	UI_Mini_XunYou.img		6	1			0	25000	25000	UI_Info_XunYou.img	10	1	UI_Img_XunYou.img	4200|4201|4203	20|20|20	0|0|0	8276	50000			UI_Mini_XunYou.img	UI_Info_XunYou.img	8	-1	
8276	25276	荀攸	6	UI_Mini_XunYou.img		6	1			0	30000	30000	UI_Info_XunYou.img	10	1	UI_Img_XunYou.img	4200|4201|4204	80|80|50	0|0|0	8277	200000			UI_Mini_XunYou.img	UI_Info_XunYou.img	8	-1	
8277	25277	荀攸	7	UI_Mini_XunYou.img		6	1			0	35000	35000	UI_Info_XunYou.img	10	1	UI_Img_XunYou.img	4200|4201|4205	240|240|160	0|0|0	8278	1000000			UI_Mini_XunYou.img	UI_Info_XunYou.img	8	-1	
8278	25278	荀攸	8	UI_Mini_XunYou.img		6	1			0	40000	40000	UI_Info_XunYou.img	10	1	UI_Img_XunYou.img	4200|4201|4206	255|255|200	0|0|0	8279	4000000			UI_Mini_XunYou.img	UI_Info_XunYou.img	8	-1	
8279	25279	荀攸	9	UI_Mini_XunYou.img		6	1			0	45000	45000	UI_Info_XunYou.img	10	1	UI_Img_XunYou.img	3				2000			UI_Mini_XunYou.img	UI_Info_XunYou.img	8	-1	
8280	25280	郭嘉	0	UI_Mini_GuoJia.img		6	1			200	100	100	UI_Info_GuoJia.img	10	0	UI_Img_GuoJia.img	3			8281	2000			UI_Mini_GuoJia.img	UI_Info_GuoJia.img	8	0	
8281	25281	郭嘉	1	UI_Mini_GuoJia.img		6	1			800	380	380	UI_Info_GuoJia.img	10	0	UI_Img_GuoJia.img	3			8282	2000			UI_Mini_GuoJia.img	UI_Info_GuoJia.img	8	0	
8282	25282	郭嘉	2	UI_Mini_GuoJia.img		6	1			3200	1500	1500	UI_Info_GuoJia.img	10	0	UI_Img_GuoJia.img	3			8283	2000			UI_Mini_GuoJia.img	UI_Info_GuoJia.img	8	0	
8283	25283	郭嘉	3	UI_Mini_GuoJia.img		6	1			12800	5000	5000	UI_Info_GuoJia.img	10	0	UI_Img_GuoJia.img	3			8284	2000			UI_Mini_GuoJia.img	UI_Info_GuoJia.img	8	2	
8284	25284	郭嘉	4	UI_Mini_GuoJia.img		6	1			51200	20000	20000	UI_Info_GuoJia.img	10	0	UI_Img_GuoJia.img	4200|4201|4202	5|5|10	0|0|0	8285	20000			UI_Mini_GuoJia.img	UI_Info_GuoJia.img	8	-1	
8285	25285	郭嘉	5	UI_Mini_GuoJia.img		6	1			0	25000	25000	UI_Info_GuoJia.img	10	0	UI_Img_GuoJia.img	4200|4201|4203	20|20|20	0|0|0	8286	50000			UI_Mini_GuoJia.img	UI_Info_GuoJia.img	8	-1	
8286	25286	郭嘉	6	UI_Mini_GuoJia.img		6	1			0	30000	30000	UI_Info_GuoJia.img	10	0	UI_Img_GuoJia.img	4200|4201|4204	80|80|50	0|0|0	8287	200000			UI_Mini_GuoJia.img	UI_Info_GuoJia.img	8	-1	
8287	25287	郭嘉	7	UI_Mini_GuoJia.img		6	1			0	35000	35000	UI_Info_GuoJia.img	10	0	UI_Img_GuoJia.img	4200|4201|4205	240|240|160	0|0|0	8288	1000000			UI_Mini_GuoJia.img	UI_Info_GuoJia.img	8	-1	
8288	25288	郭嘉	8	UI_Mini_GuoJia.img		6	1			0	40000	40000	UI_Info_GuoJia.img	10	0	UI_Img_GuoJia.img	4200|4201|4206	255|255|200	0|0|0	8289	4000000			UI_Mini_GuoJia.img	UI_Info_GuoJia.img	8	-1	
8289	25289	郭嘉	9	UI_Mini_GuoJia.img		6	1			0	45000	45000	UI_Info_GuoJia.img	10	0	UI_Img_GuoJia.img	3				2000			UI_Mini_GuoJia.img	UI_Info_GuoJia.img	8	-1	
8290	25290	贾诩	0	UI_Mini_JiaXu.img		6	1			300	100	100	UI_Info_JiaXu.img	10	0	UI_Img_JiaXu.img	3			8291	2000			UI_Mini_JiaXu.img	UI_Info_JiaXu.img	8	0	
8291	25291	贾诩	1	UI_Mini_JiaXu.img		6	1			1200	380	380	UI_Info_JiaXu.img	10	0	UI_Img_JiaXu.img	3			8292	2000			UI_Mini_JiaXu.img	UI_Info_JiaXu.img	8	0	
8292	25292	贾诩	2	UI_Mini_JiaXu.img		6	1			4800	1500	1500	UI_Info_JiaXu.img	10	0	UI_Img_JiaXu.img	3			8293	2000			UI_Mini_JiaXu.img	UI_Info_JiaXu.img	8	0	
8293	25293	贾诩	3	UI_Mini_JiaXu.img		6	1			19200	5000	5000	UI_Info_JiaXu.img	10	0	UI_Img_JiaXu.img	3			8294	2000			UI_Mini_JiaXu.img	UI_Info_JiaXu.img	8	2	
8294	25294	贾诩	4	UI_Mini_JiaXu.img		6	1			76800	20000	20000	UI_Info_JiaXu.img	10	0	UI_Img_JiaXu.img	4200|4201|4202	5|5|10	0|0|0	8295	20000			UI_Mini_JiaXu.img	UI_Info_JiaXu.img	8	-1	
8295	25295	贾诩	5	UI_Mini_JiaXu.img		6	1			0	25000	25000	UI_Info_JiaXu.img	10	0	UI_Img_JiaXu.img	4200|4201|4203	20|20|20	0|0|0	8296	50000			UI_Mini_JiaXu.img	UI_Info_JiaXu.img	8	-1	
8296	25296	贾诩	6	UI_Mini_JiaXu.img		6	1			0	30000	30000	UI_Info_JiaXu.img	10	0	UI_Img_JiaXu.img	4200|4201|4204	80|80|50	0|0|0	8297	200000			UI_Mini_JiaXu.img	UI_Info_JiaXu.img	8	-1	
8297	25297	贾诩	7	UI_Mini_JiaXu.img		6	1			0	35000	35000	UI_Info_JiaXu.img	10	0	UI_Img_JiaXu.img	4200|4201|4205	240|240|160	0|0|0	8298	1000000			UI_Mini_JiaXu.img	UI_Info_JiaXu.img	8	-1	
8298	25298	贾诩	8	UI_Mini_JiaXu.img		6	1			0	40000	40000	UI_Info_JiaXu.img	10	0	UI_Img_JiaXu.img	4200|4201|4206	255|255|200	0|0|0	8299	4000000			UI_Mini_JiaXu.img	UI_Info_JiaXu.img	8	-1	
8299	25299	贾诩	9	UI_Mini_JiaXu.img		6	1			0	45000	45000	UI_Info_JiaXu.img	10	0	UI_Img_JiaXu.img	3				2000			UI_Mini_JiaXu.img	UI_Info_JiaXu.img	8	-1	
8300	25300	司马懿	0	UI_Mini_SiMaYi.img		6	1			200	100	100	UI_Info_SiMaYi.img	10	0	UI_Img_SiMaYi.img	3			8301	2000			UI_Mini_SiMaYi.img	UI_Info_SiMaYi.img	8	0	
8301	25301	司马懿	1	UI_Mini_SiMaYi.img		6	1			800	380	380	UI_Info_SiMaYi.img	10	0	UI_Img_SiMaYi.img	3			8302	2000			UI_Mini_SiMaYi.img	UI_Info_SiMaYi.img	8	0	
8302	25302	司马懿	2	UI_Mini_SiMaYi.img		6	1			3200	1500	1500	UI_Info_SiMaYi.img	10	0	UI_Img_SiMaYi.img	3			8303	2000			UI_Mini_SiMaYi.img	UI_Info_SiMaYi.img	8	0	
8303	25303	司马懿	3	UI_Mini_SiMaYi.img		6	1			12800	5000	5000	UI_Info_SiMaYi.img	10	0	UI_Img_SiMaYi.img	3			8304	2000			UI_Mini_SiMaYi.img	UI_Info_SiMaYi.img	8	2	
8304	25304	司马懿	4	UI_Mini_SiMaYi.img		6	1			51200	20000	20000	UI_Info_SiMaYi.img	10	0	UI_Img_SiMaYi.img	4200|4201|4202	5|5|10	0|0|0	8305	20000			UI_Mini_SiMaYi.img	UI_Info_SiMaYi.img	8	-1	
8305	25305	司马懿	5	UI_Mini_SiMaYi.img		6	1			0	25000	25000	UI_Info_SiMaYi.img	10	0	UI_Img_SiMaYi.img	4200|4201|4203	20|20|20	0|0|0	8306	50000			UI_Mini_SiMaYi.img	UI_Info_SiMaYi.img	8	-1	
8306	25306	司马懿	6	UI_Mini_SiMaYi.img		6	1			0	30000	30000	UI_Info_SiMaYi.img	10	0	UI_Img_SiMaYi.img	4200|4201|4204	80|80|50	0|0|0	8307	200000			UI_Mini_SiMaYi.img	UI_Info_SiMaYi.img	8	-1	
8307	25307	司马懿	7	UI_Mini_SiMaYi.img		6	1			0	35000	35000	UI_Info_SiMaYi.img	10	0	UI_Img_SiMaYi.img	4200|4201|4205	240|240|160	0|0|0	8308	1000000			UI_Mini_SiMaYi.img	UI_Info_SiMaYi.img	8	-1	
8308	25308	司马懿	8	UI_Mini_SiMaYi.img		6	1			0	40000	40000	UI_Info_SiMaYi.img	10	0	UI_Img_SiMaYi.img	4200|4201|4206	255|255|200	0|0|0	8309	4000000			UI_Mini_SiMaYi.img	UI_Info_SiMaYi.img	8	-1	
8309	25309	司马懿	9	UI_Mini_SiMaYi.img		6	1			0	45000	45000	UI_Info_SiMaYi.img	10	0	UI_Img_SiMaYi.img	3				2000			UI_Mini_SiMaYi.img	UI_Info_SiMaYi.img	8	-1	
8310	25310	程昱	0	UI_Mini_ChengYu.img		6	1			200	100	100	UI_Info_ChengYu.img	10	1	UI_Img_ChengYu.img	3			8311	2000			UI_Mini_ChengYu.img	UI_Info_ChengYu.img	8	0	
8311	25311	程昱	1	UI_Mini_ChengYu.img		6	1			800	380	380	UI_Info_ChengYu.img	10	1	UI_Img_ChengYu.img	3			8312	2000			UI_Mini_ChengYu.img	UI_Info_ChengYu.img	8	0	
8312	25312	程昱	2	UI_Mini_ChengYu.img		6	1			3200	1500	1500	UI_Info_ChengYu.img	10	1	UI_Img_ChengYu.img	3			8313	2000			UI_Mini_ChengYu.img	UI_Info_ChengYu.img	8	0	
8313	25313	程昱	3	UI_Mini_ChengYu.img		6	1			12800	5000	5000	UI_Info_ChengYu.img	10	1	UI_Img_ChengYu.img	3			8314	2000			UI_Mini_ChengYu.img	UI_Info_ChengYu.img	8	2	
8314	25314	程昱	4	UI_Mini_ChengYu.img		6	1			51200	20000	20000	UI_Info_ChengYu.img	10	1	UI_Img_ChengYu.img	4200|4201|4202	5|5|10	0|0|0	8315	20000			UI_Mini_ChengYu.img	UI_Info_ChengYu.img	8	-1	
8315	25315	程昱	5	UI_Mini_ChengYu.img		6	1			0	25000	25000	UI_Info_ChengYu.img	10	1	UI_Img_ChengYu.img	4200|4201|4203	20|20|20	0|0|0	8316	50000			UI_Mini_ChengYu.img	UI_Info_ChengYu.img	8	-1	
8316	25316	程昱	6	UI_Mini_ChengYu.img		6	1			0	30000	30000	UI_Info_ChengYu.img	10	1	UI_Img_ChengYu.img	4200|4201|4204	80|80|50	0|0|0	8317	200000			UI_Mini_ChengYu.img	UI_Info_ChengYu.img	8	-1	
8317	25317	程昱	7	UI_Mini_ChengYu.img		6	1			0	35000	35000	UI_Info_ChengYu.img	10	1	UI_Img_ChengYu.img	4200|4201|4205	240|240|160	0|0|0	8318	1000000			UI_Mini_ChengYu.img	UI_Info_ChengYu.img	8	-1	
8318	25318	程昱	8	UI_Mini_ChengYu.img		6	1			0	40000	40000	UI_Info_ChengYu.img	10	1	UI_Img_ChengYu.img	4200|4201|4206	255|255|200	0|0|0	8319	4000000			UI_Mini_ChengYu.img	UI_Info_ChengYu.img	8	-1	
8319	25319	程昱	9	UI_Mini_ChengYu.img		6	1			0	45000	45000	UI_Info_ChengYu.img	10	1	UI_Img_ChengYu.img	3				2000			UI_Mini_ChengYu.img	UI_Info_ChengYu.img	8	-1	
8320	25320	刘晔	0	UI_Mini_LiuYe.img		6	1			200	100	100	UI_Info_LiuYe.img	10	1	UI_Img_LiuYe.img	3			8321	2000			UI_Mini_LiuYe.img	UI_Info_LiuYe.img	8	0	
8321	25321	刘晔	1	UI_Mini_LiuYe.img		6	1			800	380	380	UI_Info_LiuYe.img	10	1	UI_Img_LiuYe.img	3			8322	2000			UI_Mini_LiuYe.img	UI_Info_LiuYe.img	8	0	
8322	25322	刘晔	2	UI_Mini_LiuYe.img		6	1			3200	1500	1500	UI_Info_LiuYe.img	10	1	UI_Img_LiuYe.img	3			8323	2000			UI_Mini_LiuYe.img	UI_Info_LiuYe.img	8	0	
8323	25323	刘晔	3	UI_Mini_LiuYe.img		6	1			12800	5000	5000	UI_Info_LiuYe.img	10	1	UI_Img_LiuYe.img	3			8324	2000			UI_Mini_LiuYe.img	UI_Info_LiuYe.img	8	2	
8324	25324	刘晔	4	UI_Mini_LiuYe.img		6	1			51200	20000	20000	UI_Info_LiuYe.img	10	1	UI_Img_LiuYe.img	4200|4201|4202	5|5|10	0|0|0	8325	20000			UI_Mini_LiuYe.img	UI_Info_LiuYe.img	8	-1	
8325	25325	刘晔	5	UI_Mini_LiuYe.img		6	1			0	25000	25000	UI_Info_LiuYe.img	10	1	UI_Img_LiuYe.img	4200|4201|4203	20|20|20	0|0|0	8326	50000			UI_Mini_LiuYe.img	UI_Info_LiuYe.img	8	-1	
8326	25326	刘晔	6	UI_Mini_LiuYe.img		6	1			0	30000	30000	UI_Info_LiuYe.img	10	1	UI_Img_LiuYe.img	4200|4201|4204	80|80|50	0|0|0	8327	200000			UI_Mini_LiuYe.img	UI_Info_LiuYe.img	8	-1	
8327	25327	刘晔	7	UI_Mini_LiuYe.img		6	1			0	35000	35000	UI_Info_LiuYe.img	10	1	UI_Img_LiuYe.img	4200|4201|4205	240|240|160	0|0|0	8328	1000000			UI_Mini_LiuYe.img	UI_Info_LiuYe.img	8	-1	
8328	25328	刘晔	8	UI_Mini_LiuYe.img		6	1			0	40000	40000	UI_Info_LiuYe.img	10	1	UI_Img_LiuYe.img	4200|4201|4206	255|255|200	0|0|0	8329	4000000			UI_Mini_LiuYe.img	UI_Info_LiuYe.img	8	-1	
8329	25329	刘晔	9	UI_Mini_LiuYe.img		6	1			0	45000	45000	UI_Info_LiuYe.img	10	1	UI_Img_LiuYe.img	3				2000			UI_Mini_LiuYe.img	UI_Info_LiuYe.img	8	-1	
8340	25340	曹冲	0	UI_Mini_Caochong.img		6	1			600	100	100	UI_Info_Caochong.img	10	1	UI_Img_Caochong.img	3			8341	2000			UI_Mini_Caochong.img	UI_Info_Caochong.img	8	0	
8341	25341	曹冲	1	UI_Mini_Caochong.img		6	1			2400	380	380	UI_Info_Caochong.img	10	1	UI_Img_Caochong.img	3			8342	2000			UI_Mini_Caochong.img	UI_Info_Caochong.img	8	0	
8342	25342	曹冲	2	UI_Mini_Caochong.img		6	1			9600	1500	1500	UI_Info_Caochong.img	10	1	UI_Img_Caochong.img	3			8343	2000			UI_Mini_Caochong.img	UI_Info_Caochong.img	8	0	
8343	25343	曹冲	3	UI_Mini_Caochong.img		6	1			38400	5000	5000	UI_Info_Caochong.img	10	1	UI_Img_Caochong.img	3			8344	2000			UI_Mini_Caochong.img	UI_Info_Caochong.img	8	2	
8344	25344	曹冲	4	UI_Mini_Caochong.img		6	1			153600	20000	20000	UI_Info_Caochong.img	10	1	UI_Img_Caochong.img	4200|4201|4202	5|5|10	0|0|0	8345	20000			UI_Mini_Caochong.img	UI_Info_Caochong.img	8	-1	
8345	25345	曹冲	5	UI_Mini_Caochong.img		6	1			0	25000	25000	UI_Info_Caochong.img	10	1	UI_Img_Caochong.img	4200|4201|4203	20|20|20	0|0|0	8346	50000			UI_Mini_Caochong.img	UI_Info_Caochong.img	8	-1	
8346	25346	曹冲	6	UI_Mini_Caochong.img		6	1			0	30000	30000	UI_Info_Caochong.img	10	1	UI_Img_Caochong.img	4200|4201|4204	80|80|50	0|0|0	8347	200000			UI_Mini_Caochong.img	UI_Info_Caochong.img	8	-1	
8347	25347	曹冲	7	UI_Mini_Caochong.img		6	1			0	35000	35000	UI_Info_Caochong.img	10	1	UI_Img_Caochong.img	4200|4201|4205	240|240|160	0|0|0	8348	1000000			UI_Mini_Caochong.img	UI_Info_Caochong.img	8	-1	
8348	25348	曹冲	8	UI_Mini_Caochong.img		6	1			0	40000	40000	UI_Info_Caochong.img	10	1	UI_Img_Caochong.img	4200|4201|4206	255|255|200	0|0|0	8349	4000000			UI_Mini_Caochong.img	UI_Info_Caochong.img	8	-1	
8349	25349	曹冲	9	UI_Mini_Caochong.img		6	1			0	45000	45000	UI_Info_Caochong.img	10	1	UI_Img_Caochong.img	3				2000			UI_Mini_Caochong.img	UI_Info_Caochong.img	8	-1	
8370		张既	0	UI_Mini_Zhangji.img		6	1	降低增兵CD		200	100	100	UI_Info_Zhangji.img	20	2	UI_Img_Zhangji.img	3			8371	2000			UI_Mini_Zhangji.img	UI_Info_Zhangji.img	8	0	
8371		张既	1	UI_Mini_Zhangji.img		6	1	降低增兵CD		800	380	380	UI_Info_Zhangji.img	20	2	UI_Img_Zhangji.img	3			8372	2000			UI_Mini_Zhangji.img	UI_Info_Zhangji.img	8	0	
8372		张既	2	UI_Mini_Zhangji.img		6	1	降低增兵CD		3200	1500	1500	UI_Info_Zhangji.img	20	2	UI_Img_Zhangji.img	3			8373	2000			UI_Mini_Zhangji.img	UI_Info_Zhangji.img	8	0	
8373		张既	3	UI_Mini_Zhangji.img		6	1	降低增兵CD		12800	5000	5000	UI_Info_Zhangji.img	20	2	UI_Img_Zhangji.img	3			8374	2000			UI_Mini_Zhangji.img	UI_Info_Zhangji.img	8	2	
8374		张既	4	UI_Mini_Zhangji.img		6	1	降低增兵CD		51200	20000	20000	UI_Info_Zhangji.img	20	2	UI_Img_Zhangji.img	3				2000			UI_Mini_Zhangji.img	UI_Info_Zhangji.img	8	-1	
8380	25380	满宠	0	UI_Mini_ManChong.img		6	1			200	100	100	UI_Info_ManChong.img	20	0	UI_Img_ManChong.img	3			8381	2000			UI_Mini_ManChong.img	UI_Info_ManChong.img	8	0	
8381	25381	满宠	1	UI_Mini_ManChong.img		6	1			800	380	380	UI_Info_ManChong.img	20	0	UI_Img_ManChong.img	3			8382	2000			UI_Mini_ManChong.img	UI_Info_ManChong.img	8	0	
8382	25382	满宠	2	UI_Mini_ManChong.img		6	1			3200	1500	1500	UI_Info_ManChong.img	20	0	UI_Img_ManChong.img	3			8383	2000			UI_Mini_ManChong.img	UI_Info_ManChong.img	8	0	
8383	25383	满宠	3	UI_Mini_ManChong.img		6	1			12800	5000	5000	UI_Info_ManChong.img	20	0	UI_Img_ManChong.img	3			8384	2000			UI_Mini_ManChong.img	UI_Info_ManChong.img	8	2	
8384	25384	满宠	4	UI_Mini_ManChong.img		6	1			51200	20000	20000	UI_Info_ManChong.img	20	0	UI_Img_ManChong.img	4200|4201|4202	5|5|10	0|0|0	8385	20000			UI_Mini_ManChong.img	UI_Info_ManChong.img	8	-1	
8385	25384	满宠	5	UI_Mini_ManChong.img		6	1			0	25000	25000	UI_Info_ManChong.img	20	0	UI_Img_ManChong.img	4200|4201|4203	20|20|20	0|0|0	8386	50000			UI_Mini_ManChong.img	UI_Info_ManChong.img	8	-1	
8386	25384	满宠	6	UI_Mini_ManChong.img		6	1			0	30000	30000	UI_Info_ManChong.img	20	0	UI_Img_ManChong.img	4200|4201|4204	80|80|50	0|0|0	8387	200000			UI_Mini_ManChong.img	UI_Info_ManChong.img	8	-1	
8387	25384	满宠	7	UI_Mini_ManChong.img		6	1			0	35000	35000	UI_Info_ManChong.img	20	0	UI_Img_ManChong.img	4200|4201|4205	240|240|160	0|0|0	8388	1000000			UI_Mini_ManChong.img	UI_Info_ManChong.img	8	-1	
8388	25384	满宠	8	UI_Mini_ManChong.img		6	1			0	40000	40000	UI_Info_ManChong.img	20	0	UI_Img_ManChong.img	4200|4201|4206	255|255|200	0|0|0	8389	4000000			UI_Mini_ManChong.img	UI_Info_ManChong.img	8	-1	
8389	25384	满宠	9	UI_Mini_ManChong.img		6	1			0	45000	45000	UI_Info_ManChong.img	20	0	UI_Img_ManChong.img	3				2000			UI_Mini_ManChong.img	UI_Info_ManChong.img	8	-1	
8390		钟繇	0	UI_Mini_Zhongyao.img		6	1	提高征收获得的铜钱		200	100	100	UI_Info_Zhongyao.img	20	2	UI_Img_Zhongyao.img	3			8391	2000			UI_Mini_Zhongyao.img	UI_Info_Zhongyao.img	8	0	
8391		钟繇	1	UI_Mini_Zhongyao.img		6	1	提高征收获得的铜钱		800	380	380	UI_Info_Zhongyao.img	20	2	UI_Img_Zhongyao.img	3			8392	2000			UI_Mini_Zhongyao.img	UI_Info_Zhongyao.img	8	0	
8392		钟繇	2	UI_Mini_Zhongyao.img		6	1	提高征收获得的铜钱		3200	1500	1500	UI_Info_Zhongyao.img	20	2	UI_Img_Zhongyao.img	3			8393	2000			UI_Mini_Zhongyao.img	UI_Info_Zhongyao.img	8	0	
8393		钟繇	3	UI_Mini_Zhongyao.img		6	1	提高征收获得的铜钱		12800	5000	5000	UI_Info_Zhongyao.img	20	2	UI_Img_Zhongyao.img	3			8394	2000			UI_Mini_Zhongyao.img	UI_Info_Zhongyao.img	8	2	
8394		钟繇	4	UI_Mini_Zhongyao.img		6	1	提高征收获得的铜钱		51200	20000	20000	UI_Info_Zhongyao.img	20	2	UI_Img_Zhongyao.img	3				2000			UI_Mini_Zhongyao.img	UI_Info_Zhongyao.img	8	-1	
8400		董昭	0	UI_Mini_DongZhao.img		6	1	提高林地的木材产量		200	100	100	UI_Info_DongZhao.img	20	2	UI_Img_DongZhao.img	3			8401	2000			UI_Mini_DongZhao.img	UI_Info_DongZhao.img	8	0	
8401		董昭	1	UI_Mini_DongZhao.img		6	1	提高林地的木材产量		800	380	380	UI_Info_DongZhao.img	20	2	UI_Img_DongZhao.img	3			8402	2000			UI_Mini_DongZhao.img	UI_Info_DongZhao.img	8	0	
8402		董昭	2	UI_Mini_DongZhao.img		6	1	提高林地的木材产量		3200	1500	1500	UI_Info_DongZhao.img	20	2	UI_Img_DongZhao.img	3			8403	2000			UI_Mini_DongZhao.img	UI_Info_DongZhao.img	8	0	
8403		董昭	3	UI_Mini_DongZhao.img		6	1	提高林地的木材产量		12800	5000	5000	UI_Info_DongZhao.img	20	2	UI_Img_DongZhao.img	3			8404	2000			UI_Mini_DongZhao.img	UI_Info_DongZhao.img	8	2	
8404		董昭	4	UI_Mini_DongZhao.img		6	1	提高林地的木材产量		51200	20000	20000	UI_Info_DongZhao.img	20	2	UI_Img_DongZhao.img	3				2000			UI_Mini_DongZhao.img	UI_Info_DongZhao.img	8	-1	
8410		贾逵	0	UI_Mini_JiaKui.img		6	1	提高矿山的铁矿产量		200	100	100	UI_Info_JiaKui.img	20	2	UI_Img_JiaKui.img	3			8411	2000			UI_Mini_JiaKui.img	UI_Info_JiaKui.img	8	0	
8411		贾逵	1	UI_Mini_JiaKui.img		6	1	提高矿山的铁矿产量		800	380	380	UI_Info_JiaKui.img	20	2	UI_Img_JiaKui.img	3			8412	2000			UI_Mini_JiaKui.img	UI_Info_JiaKui.img	8	0	
8412		贾逵	2	UI_Mini_JiaKui.img		6	1	提高矿山的铁矿产量		3200	1500	1500	UI_Info_JiaKui.img	20	2	UI_Img_JiaKui.img	3			8413	2000			UI_Mini_JiaKui.img	UI_Info_JiaKui.img	8	0	
8413		贾逵	3	UI_Mini_JiaKui.img		6	1	提高矿山的铁矿产量		12800	5000	5000	UI_Info_JiaKui.img	20	2	UI_Img_JiaKui.img	3			8414	2000			UI_Mini_JiaKui.img	UI_Info_JiaKui.img	8	2	
8414		贾逵	4	UI_Mini_JiaKui.img		6	1	提高矿山的铁矿产量		51200	20000	20000	UI_Info_JiaKui.img	20	2	UI_Img_JiaKui.img	3				2000			UI_Mini_JiaKui.img	UI_Info_JiaKui.img	8	-1	
8430		梁习	0	UI_Mini_LiangXi.img		6	1	提高牧场的马匹产量		200	100	100	UI_Info_LiangXi.img	20	2	UI_Img_LiangXi.img	3			8431	2000			UI_Mini_LiangXi.img	UI_Info_LiangXi.img	8	0	
8431		梁习	1	UI_Mini_LiangXi.img		6	1	提高牧场的马匹产量		800	380	380	UI_Info_LiangXi.img	20	2	UI_Img_LiangXi.img	3			8432	2000			UI_Mini_LiangXi.img	UI_Info_LiangXi.img	8	0	
