id	名字	接壤1	接壤2	接壤3	接壤4	类型	默认势力	sceneid	时间	玩家数量	出生点数	开启人数	进场时间	郡名	收益类型	收益数量	特产类型	特产数量	buttonname	cityname	colormask	map	bordername	坐标	规模	colorsw	城防值	城池mask	城池等级	建国后等级	城池等级系数	平叛消耗军令	平叛铜钱奖励	平叛掉落id	叛乱兵种icon	攻方胜利条件	守方胜利条件	行政长官	称谓	说明	州ID	州名称	地形
10004	武关	10003	10005	16007	9008	0	2	40018	1800	40	"0,1"	1	1620	京兆郡	5	25000	3	200000	MedianCity_Wuguan	LocalName_WuGuan	CM_Wuguan	UI_GK_Jiange.img	Border_Wuguan		3	TiaoMu_Wuguan	100	sw_Area_Wuguan	9|9|9|9	9|9|9|9	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	樊稠	都尉	    武关历史悠久，远在春秋时即以建置，名曰“少习关”，战国时改为“武关”。关西地势较为平坦，唯出关东行，延山腰盘曲而过，崖高谷深，狭窄难行，因此武关为古代兵家必争之地。	1015	京兆	山地
10005	商县	10004	16010			1	2	30076	1800	40	"0,1"	2	1620	京兆郡	5	45000	1	200000	MedianCity_Shangxian	LocalName_ShangXian	CM_Shangxian	UI_GK_Xingyang.img	Border_Shangxian		0	TiaoMu_Shangxian	100	sw_Area_Shangxian	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	王通	令	    秦始皇二十六年（前221）统一天下，推行郡县制，改商邑为商县。	1015	京兆	城郭
10006	扶风	10002	10007	10009		1	11	30077	1800	40	"0,1"	2	1620	扶风郡	5	45000	2	200000	MedianCity_Fufeng	LocalName_FuFeng	CM_Fufeng	UI_GK_Chenliu.img	Border_Fufeng		1	TiaoMu_Fufeng	200	sw_Area_Fufeng	7|7|7|7	7|7|7|7	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	王宏	太守	    东周时便设县的扶风，作为长安的西门户，位置一直很重要。	1015	京兆	平原
10007	五丈原	10006	10008			0	2	40019	1800	40	"0,1"	1	1620	扶风郡	5	25000	3	200000	MedianCity_Wuzhangyuan	LocalName_WuZhangYuan	CM_Wuzhangyuan	UI_GK_Tongguan.img	Border_Wuzhangyuan		3	TiaoMu_Wuzhangyuan	100	sw_Area_Wuzhangyuan	10|9|10|10	10|9|10|10	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	鹿磐	都尉	    五丈原南靠秦岭，北临渭水，东西皆深沟。相传秦朝时秦二世胡亥秋初西巡，在此见旋风刮起五丈尘柱奇观，挥毫写下了“五丈秋风原”而得名。	1015	京兆	山地
10008	陈仓	11005	10007			1	2	30078	1800	40	"0,1"	2	1620	扶风郡	5	45000	1	200000	MedianCity_Chencang	LocalName_ChenCang	CM_Chencang	UI_GK_Chencang.img	Border_Chencang		0	TiaoMu_Chencang	100	sw_Area_Chencang	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	王生	令	    陈仓，古称西虢，是周秦文化的发祥地。秦武公（公元前687年）设虢县，秦孝公（公元前361年）设陈仓县	1015	京兆	城郭
10009	子午谷	10006	13002			0	11	40020	1800	40	"0,1"	1	1620	扶风郡	5	25000	2	200000	MedianCity_Ziwugu	LocalName_ZiWuGu	CM_Ziwugu	UI_GK_Jiange.img	Border_Ziwugu		3	TiaoMu_Ziwugu	100	sw_Area_Ziwugu	8|7|8|8	8|8|8|8	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	张椽	都尉	    子午谷是关中通汉中的一条谷道， 长300余公里。《战国策》张仪说赵王，秦一军塞午道，鲍彪注：长安有子午谷，北山是子，南山是午，午道秦南道也。西汉元始五年（公元5年）王莽通子午道，从杜陵直绝南山经汉中，南口在今石泉县境	1015	京兆	山地
11001	新平	10002	11002	11003		1	2	30079	1800	40	"0,1"	2	1620	新平郡	5	48000	1	200000	MedianCity_Xinping	LocalName_XinPing	CM_Xinping	UI_GK_Puyang.img	Border_Xinping		0	TiaoMu_Xinping	100	sw_Area_Xinping	8|8|8|8	8|8|8|8	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	张横	太守	    东汉兴平元年（194）分右扶风及安定郡置。	1012	雍州	城郭
11002	安定	11003	11001	12002		1	2	30080	1800	40	"0,1"	2	1620	安定郡	5	45000	2	200000	MedianCity_Anding	LocalName_AnDing	CM_Anding	UI_GK_Anding.img	Border_Anding		0	TiaoMu_Anding	100	sw_Area_Anding	8|8|8|8	8|8|8|8	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	边章	太守	    西汉元鼎三年（前114年），分北地郡地置安定郡。	1012	雍州	山地
11003	街亭	11001	11002	11004		0	2	40021	1800	40	"0,1"	1	1620	广魏郡	5	25000	3	200000	MedianCity_Jieting	LocalName_JieTing	CM_Jieting	UI_GK_Jiange.img	Border_Jieting		3	TiaoMu_Jieting	100	sw_Area_Jieting	9|9|9|9	9|9|9|9	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	王赟	都尉	    街亭所处的位置是一个河谷开阔，四通八达，南北山势险要，进能够攻，退可以守的战略要地。	1012	雍州	山地
11004	天水	11003	11005	11006	13001	1	2	30081	1800	40	"0,1"	2	1620	天水郡	5	42000	4	125000	MedianCity_Tianshui	LocalName_TianShui	CM_Tianshui	UI_GK_Tianshui.img	Border_Tianshui		1	TiaoMu_Tianshui	200	sw_Area_Tianshui	10|8|10|10	10|9|10|10	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	韩遂	太守	    设立于汉武帝元鼎三年（前114年）。传闻忽然一夜，有河水从天而降，形成一湖水，水质纯净，四季滢然。后来汉武帝听说此事，便在此地建城并名为“天水”。	1012	雍州	山地
11005	上邽	11004	10008			1	2	30082	1800	40	"0,1"	2	1620	天水郡	5	45000	1	200000	MedianCity_Shanggui	LocalName_ShangGui	CM_Shanggui	UI_GK_Anding.img	Border_Shanggui		0	TiaoMu_Shanggui	100	sw_Area_Shanggui	9|8|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	成宜	令	    公元前688 年秦武公取其地，置邽县，后改为上邽县。公元前221，秦始皇置三十六郡时，上邽是陇西郡中一县。汉武帝时，置天水郡，上邽是其中一县。	1012	雍州	山地
11006	陇西	11004	11008	11009		1	2	30083	1800	40	"0,1"	2	1620	陇西郡	5	45000	1	200000	MedianCity_Longxi	LocalName_LongXi	CM_Longxi	UI_GK_Anding.img	Border_Longxi		1	TiaoMu_Longxi	200	sw_Area_Longxi	9|8|9|9	9|9|9|9	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	李相如	太守	    秦昭襄王二十七年（公元前280年），置陇西郡。因为在陇山西部而得名。古代人看到横亘于关中平原西部的山脉如同田埂一样，就称之为陇山。	1012	雍州	山地
11007	枹罕	11008	12004	12005		1	2	30084	1800	40	"0,1"	2	1620	陇西郡	5	45000	2	200000	MedianCity_Baohan	LocalName_BaoHan	CM_Baohan	UI_GK_Yongan.img	Border_Baohan		0	TiaoMu_Baohan	100	sw_Area_Baohan	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	彭奚念	令	    原属金城郡，东汉初年被分到陇西郡。	1012	雍州	山地
11008	狄道	11006	11007	11009		1	2	30085	1800	40	"0,1"	2	1620	陇西郡	5	45000	3	200000	MedianCity_Didao	LocalName_DiDao	CM_Didao	UI_GK_Tianshui.img	Border_Didao		0	TiaoMu_Didao	100	sw_Area_Didao	9|8|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	李简	令	    秦穆公用由余之计，向西开拓，西戎八国臣服于秦。秦国在当地设“县”“道”来进行管理，狄道就是狄人居住的地方。	1012	雍州	山地
11009	临洮	11006	11008	13004		1	2	30086	1800	40	"0,1"	2	1620	陇西郡	5	42000	4	125000	MedianCity_Lintao	LocalName_LinTao	CM_Lintao	UI_GK_Xiaopei.img	Border_Lintao		0	TiaoMu_Lintao	100	sw_Area_Lintao	10|7|10|10	10|9|10|10	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	董成	令	    西北名邑，陇右重镇，古“丝绸之路”要道，更是董卓的家乡！	1012	雍州	平原
12001	北地	8012	12002	12003	12005	1	2	30087	1800	40	"0,1"	2	1620	北地郡	5	48000	1	200000	MedianCity_Beidi	LocalName_BeiDi	CM_Beidi	UI_GK_Guiyang.img	Border_Beidi		0	TiaoMu_Beidi	100	sw_Area_Beidi	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	皇甫嵩	太守	    北地郡，秦昭襄王三十六年（前271年）灭义渠后所置，为秦初三十六郡之一！	1004	凉州	山地
12002	鹯阴口	11002	12001	12004		0	2	40022	1800	40	"0,1"	1	1620	武威郡	5	25000	2	200000	MedianCity_Zhanyinkou	LocalName_ZhanYinKou	CM_Zhanyinkou	UI_GK_Tongguan.img	Border_Zhanyinkou		3	TiaoMu_Zhanyinkou	100	sw_Area_Zhanyinkou	9|9|9|9	9|9|9|9	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	马铁	都尉	    汉武帝时设立在祖厉河入黄河的河段上，南来北往之交通要道。传闻张既曾经在这里击溃高干和郭援。	1004	凉州	山地
12003	武威	12001	12005	12006		1	2	30088	1800	40	"0,1"	2	1620	武威郡	5	51000	1	300000	MedianCity_Wuwei	LocalName_WuWei	CM_Wuwei	UI_GK_Wuwei.img	Border_Wuwei		1	TiaoMu_Wuwei	200	sw_Area_Wuwei	9|9|9|9	9|9|9|9	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	马腾	太守	    武威原为匈奴领土，为休屠王领地。前121年（元狩2年），浑邪王与休屠王遭霍去病击败，归附汉朝。休屠王领地在前101年（武帝太初四年）被建为武威郡。	1004	凉州	平原
12004	金城	12002	11007			1	2	30089	1800	40	"0,1"	2	1620	金城郡	5	45000	2	300000	MedianCity_Jincheng	LocalName_JinCheng	CM_Jincheng	UI_GK_Tianshui.img	Border_Jincheng		0	TiaoMu_Jincheng	100	sw_Area_Jincheng	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	苏则	太守	    汉昭帝始元六年（前81年），因“边塞阔远”，割天水、陇西、张掖各二县置金城郡。设置金城郡的目的是加强对西羌的控制。	1004	凉州	山地
12005	西平	11007	12001	12003		1	2	30090	1800	40	"0,1"	2	1620	西平郡	5	48000	3	300000	MedianCity_Xiping	LocalName_XiPing	CM_Xiping	UI_GK_Anding.img	Border_Xiping		0	TiaoMu_Xiping	100	sw_Area_Xiping	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	杜畿	太守	    东汉建安中分金城郡置，治所西平，辖境相当于青海湟源、乐都之间的黄水流域。	1004	凉州	山地
12006	张掖	12003	12007			1	2	30091	1800	40	"0,1"	2	1620	张掖郡	5	51000	8	100	MedianCity_Zhangye	LocalName_ZhangYe	CM_Zhangye	UI_GK_Puyang.img	Border_Zhangye		0	TiaoMu_Zhangye	100	sw_Area_Zhangye	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	杜通	太守	    原为匈奴昆邪王地，汉武帝元鼎六年（前111年）分酒泉郡东部置张掖郡。取“张国臂掖，以通西域”之意。	1004	凉州	城郭
12007	酒泉	12006	12008	12009		1	2	30092	1800	40	"0,1"	2	1620	酒泉郡	5	51000	8	100	MedianCity_Jiuquan	LocalName_JiuQuan	CM_Jiuquan	UI_GK_Ji.img	Border_Jiuquan		0	TiaoMu_Jiuquan	100	sw_Area_Jiuquan	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	辛机	太守	    酒泉郡，郡名。前121年（元狩二年）置酒泉郡。辖黄河以西的匈奴休屠王、浑邪王故地。相传因为“城下有金泉，其水若酒”而得名。	1004	凉州	山地
12008	敦煌	12007				1	2	30093	1800	40	"0,1"	2	1620	敦煌郡	5	51000	8	100	MedianCity_Dunhuang	LocalName_DunHuang	CM_Dunhuang	UI_GK_Tianshui.img	Border_Dunhuang		0	TiaoMu_Dunhuang	100	sw_Area_Dunhuang	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	马艾	太守	    位于汉朝版图最西边的敦煌，于汉武帝元鼎六年分酒泉郡西部设立。	1004	凉州	山地
12009	居延	12007				1	2	30165	1800	40	"0,1"	2	1620	西海郡	5	51000	8	100	MedianCity_Juyan	LocalName_JuYan	CM_Juyan	UI_GK_Tianshui.img	Border_Juyan		0	TiaoMu_Juyan	100	sw_Area_Juyan	9|9|9|9	9|9|9|9	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	张雅	太守	    西汉太初三年(公元前102) 强弩将军路博德筑居延塞，称“遮虏障”。 后沿弱水岸筑长城接酒泉塞，遂成为历代 屯兵设防重镇。后置居延县，为张掖郡都尉治所。	1004	凉州	山地
13001	武都	11004	13003			1	2	30094	1800	40	"0,1"	2	1620	武都郡	5	39000	4	125000	MedianCity_Wudu	LocalName_WuDu	CM_Wudu	UI_GK_Chencang.img	Border_Wudu		0	TiaoMu_Wudu	100	sw_Area_Wudu	11|7|11|11	11|9|11|11	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	白虎文	太守	    西周以前设立，早期治所在西域杏林国以南的洛峪。然后逐渐向西南移动，最后进驻在石门，也就是今天的武都区旧城山。	1010	益州北	城郭
13002	汉中	13003	10009	16010		1	11	30095	2400	40	"0,1"	2	2220	汉中郡	5	60000	5	100000	MedianCity_Hanzhong	LocalName_HanZhong	CM_Hanzhong	UI_GK_Nanpi.img	Border_Hanzhong		2	TiaoMu_Hanzhong	200	sw_Area_Hanzhong	8|6|8|8	8|8|8|8	1|2|3|4	5	27856	6104|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	张鲁	太守	    汉中郡，秦惠文王后十三年（前312年）攻楚汉中，取地六百里，因当地汉水而置郡。	1010	益州北	平原
13003	阳关	13001	13002	13008	13009	0	11	40023	1800	40	"0,1"	1	1620	汉中郡	5	25000	1	200000	MedianCity_Yangguan	LocalName_YangGuan	CM_Yangguan	UI_GK_Jiange.img	Border_Yangguan		3	TiaoMu_Yangguan	100	sw_Area_Yangguan	9|6|9|9	9|9|9|9	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	杨任	都尉	    阳关始建于西汉，北依秦岭，南林汉江和巴山，是汉中盆地的西门户，同事也是巴蜀通往关中的北端浅颜，进利于攻，退可以守。	1010	益州北	山地
13004	沓中	11009	13005			0	2	40024	1800	40	"0,1"	1	1620	阴平郡	5	25000	2	200000	MedianCity_Tazhong	LocalName_TaZhong	CM_Tazhong	UI_GK_Yijing.img	Border_Tazhong		3	TiaoMu_Tazhong	100	sw_Area_Tazhong	10|7|10|10	10|9|10|10	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	傅俭	都尉	    沓中位于被岷山、迭山环抱而成的小型盆地，有白龙江灌溉，土地肥沃，四季如春，因此不光适宜驻兵，更是种植粮食的风水宝地。	1010	益州北	城郭
13005	阴平	13004	13007	13009		1	2	30096	1800	40	"0,1"	2	1620	阴平郡	5	39000	3	200000	MedianCity_Yinping	LocalName_YinPing	CM_Yinping	UI_GK_Ji.img	Border_Yinping		1	TiaoMu_Yinping	200	sw_Area_Yinping	11|6|11|11	11|9|11|11	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	赵衡	太守	    曹操改广汉属国为阴平郡，治阴平，后被蜀汉占有，仍置阴平郡。	1010	益州北	山地
13006	梓潼	13008	13010	13011		1	11	30097	1800	40	"0,1"	2	1620	梓潼郡	5	36000	1	200000	MedianCity_Zitong	LocalName_ZiTong	CM_Zitong	UI_GK_Zitong.img	Border_Zitong		0	TiaoMu_Zitong	100	sw_Area_Zitong	11|5|11|11	11|9|11|11	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	霍峻	太守	    东汉建安二十二年（217年），刘备分广汉郡部分领地设立了梓潼郡，治所就在梓潼。梓潼位于金牛古道，是出川的重要商贾云集地。	1010	益州北	水域
13007	江油	13005	13010			1	2	30098	1800	40	"0,1"	2	1620	梓潼郡	5	36000	2	200000	MedianCity_Jiangyou	LocalName_JiangYou	CM_Jiangyou	UI_GK_Kuaiji.img	Border_Jiangyou		0	TiaoMu_Jiangyou	100	sw_Area_Jiangyou	12|6|12|12	12|9|12|12	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	马诚	令	    江油位于九寨门户，蜀道咽喉，风景秀丽。本与阴平并不相通，但是人力无穷，邓艾凿山通道，造作桥阁，硬是通过了七百里无人之境，先登江油。	1010	益州北	水域
13008	剑阁	13003	13006	13009		0	11	40025	1800	40	"0,1"	1	1620	梓潼郡	5	25000	3	150000	MedianCity_Jiange	LocalName_JianGe	CM_Jiange	UI_GK_Jiange.img	Border_Jiange		3	TiaoMu_Jiange	100	sw_Area_Jiange	10|6|10|10	10|9|10|10	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	向存	都尉	    剑阁位于梓潼北，坐拥剑门天险，峥嵘岿巍，一夫当关，万夫莫开。	1010	益州北	山地
13009	白水关	13005	13008	13003		0	2	40026	1800	40	"0,1"	1	1620	梓潼郡	5	25000	2	150000	MedianCity_Baishuiguan	LocalName_BaiShuiGuan	CM_Baishuiguan	UI_GK_Tongguan.img	Border_Baishuiguan		3	TiaoMu_Baishuiguan	100	sw_Area_Baishuiguan	11|6|11|11	11|9|11|11	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	杨怀	都尉	    白水关自古便是蜀地门户。上接阴平，下连剑阁，实乃益州福祸之门。	1010	益州北	山地
13010	涪关	13006	13007	14001		0	11	40027	1800	40	"0,1"	1	1620	梓潼郡	5	25000	3	200000	MedianCity_Fuguan	LocalName_FuGuan	CM_Fuguan	UI_GK_Tongguan.img	Border_Fuguan		3	TiaoMu_Fuguan	100	sw_Area_Fuguan	12|5|12|12	12|9|12|12	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	高沛	都尉	    益州北部通往成都的最后一道关卡，	1010	益州北	山地
13011	阆中	13006	14005			1	2	30099	1800	40	"0,1"	2	1620	巴西郡	5	39000	4	125000	MedianCity_Langzhong	LocalName_LangZhong	CM_Langzhong	UI_GK_Jinyang.img	Border_Langzhong		1	TiaoMu_Langzhong	200	sw_Area_Langzhong	11|6|11|11	11|9|11|11	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	庞羲	太守	    建安六年（201年），益州牧刘璋将管辖垫江县以北的旧巴郡改称为巴西郡。刘备入蜀后，立了宕渠郡，但是很快取消，被并入了巴西郡，郡治阆中县	1010	益州北	山地
14001	绵竹	13010	14003			1	11	30100	1800	40	"0,1"	2	1620	广汉郡	5	33000	1	100000	MedianCity_Mianzhu	LocalName_MianZhu	CM_Mianzhu	UI_GK_Guiyang.img	Border_Mianzhu		0	TiaoMu_Mianzhu	100	sw_Area_Mianzhu	13|5|13|13	13|9|13|13	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	冷苞	令	    秦朝时为雒县。雒县因雒水流经县境而得名。西汉高帝六年（公元前201年），置广汉郡。	1019	益州南	山地
14002	德阳	14003	14006			1	11	30101	1800	40	"0,1"	2	1620	东广汉郡	5	33000	2	100000	MedianCity_Deyang	LocalName_DeYang	CM_Deyang	UI_GK_Xiangping.img	Border_Deyang		0	TiaoMu_Deyang	100	sw_Area_Deyang	13|5|13|13	13|9|13|13	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	费伯仁	令	    三国时期，分广汉郡中四县为东广汉郡，治所在德阳。	1019	益州南	平原
14003	成都	14001	14002	14004	14010	1	2	30168	3600	80	"0,1"	2	3420	蜀郡	5	60000	2	100000	MedianCity_Chengdu	LocalName_ChengDu	CM_Chengdu	UI_GK_Changan.img	Border_Chengdu		2	TiaoMu_Chengdu	200	sw_Area_Chengdu	14|6|14|14	14|9|14|14	1|2|3|4	5	27856	6104|0|1	T_UI_Puanluan.img	攻破皇城四个辟邪	守住皇城辟邪	刘备	令	    公元前五世纪，成都便成为古蜀国的都城。正所谓“一年而所居成聚，二年成邑，三年成都”，成都因此得名，是益州平原里最大的城市，于东汉末年代替雒县成为了益州的中心。	1019	益州南	平原
14004	临邛	14003	14009			0	2	40028	2400	40	"0,1"	1	2220	蜀郡	5	25000	3	100000	MedianCity_Linqiong	LocalName_LinQiong	CM_Linqiong	UI_GK_Jiange.img	Border_Linqiong		3	TiaoMu_Linqiong	200	sw_Area_Linqiong	13|5|13|1	13|9|13|1	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	李权	都尉	    秦置。秦蜀卓氏、程郑被迁至此，以冶铁致富。汉置盐、铁官。	1019	益州南	山地
14005	永安	13011	16011	14007	17001	1	11	30103	1800	40	"0,1"	2	1620	巴东郡	5	42000	1	200000	MedianCity_Yongan	LocalName_YongAn	CM_Yongan	UI_GK_Yongan.img	Border_Yongan		0	TiaoMu_Yongan	100	sw_Area_Yongan	10|6|10|10	10|9|10|10	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	陈到	太守	    巴东郡之地原属秦朝设置的巴郡，东汉建安六年（公元201 年）益州牧刘璋改固陵郡置巴东郡，郡治在永安。	1019	益州南	山地
14006	江州	14002	14007	14008		1	11	30104	1800	40	"0,1"	2	1620	巴郡	5	36000	2	200000	MedianCity_Jiangzhou	LocalName_JiangZhou	CM_Jiangzhou	UI_GK_Zitong.img	Border_Jiangzhou		1	TiaoMu_Jiangzhou	200	sw_Area_Jiangzhou	12|5|12|12	12|9|12|12	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	赵部	太守	    秦于周赧王元年（前314年）置巴郡，郡治江州县。后来几经废立，在建安六年重新设立。	1019	益州南	水域
14007	临江	14005	14006	14008		0	11	40029	1800	40	"0,1"	1	1620	巴郡	5	25000	3	200000	MedianCity_Linjiang	LocalName_LinJiang	CM_Linjiang	UI_GK_Tongguan.img	Border_Linjiang		3	TiaoMu_Linjiang	100	sw_Area_Linjiang	11|5|11|11	11|9|11|11	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	马相	都尉	    汉初置临江县，位在长江边上，与江为邻，故名。	1019	益州南	山地
14008	涪陵	14006	14007			1	2	30105	1800	40	"0,1"	2	1620	涪陵郡	5	39000	1	200000	MedianCity_Fuling	LocalName_FuLing	CM_Fuling	UI_GK_Zitong.img	Border_Fuling		0	TiaoMu_Fuling	100	sw_Area_Fuling	11|7|11|11	11|9|11|11	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	张任	太守	    东汉建安六年(201年)刘璋分巴郡置巴东属国;建安二十一年(216年)刘备改巴东属国为涪陵郡，治涪陵县。	1019	益州南	水域
14009	汉嘉	14004	15001			1	2	30170	2400	40	"0,1"	2	2220	汉嘉郡	5	33000	2	100000	MedianCity_Hanjia	LocalName_HanJia	CM_Hanjia	UI_GK_Anding.img	Border_Hanjia		1	TiaoMu_Hanjia	200	sw_Area_Hanjia	15|4|15|15	15|9|15|15	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	杨洪	太守	    东汉初年，公孙述据益州称帝，青衣不服，光武帝嘉之。汉安帝延光元年（122年），置蜀郡属国都尉，驻青衣县。青衣羌族王子心慕汉制，上求内附。顺帝阳嘉二年（133年），改青衣县名为汉嘉，嘉得此良臣之意。	1019	益州南	山地
14010	犍为	14003	14011			1	2	30107	1800	40	"0,1"	2	1620	犍为郡	5	33000	3	200000	MedianCity_Qianwei	LocalName_QianWei	CM_Qianwei	UI_GK_Xiaopei.img	Border_Qianwei		1	TiaoMu_Qianwei	200	sw_Area_Qianwei	13|5|13|13	13|9|13|13	1|2|3|4	3	19768	6103|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	贾龙	太守	    犍为郡，武帝建元六年（公元前135年）设立，领县十二。	1019	益州南	平原
14011	江阳	14010	15008			0	2	40030	1800	40	"0,1"	1	1620	江阳郡	5	25000	4	200000	MedianCity_Jiangyang	LocalName_JiangYang	CM_Jiangyang	UI_GK_Tongguan.img	Border_Jiangyang		3	TiaoMu_Jiangyang	100	sw_Area_Jiangyang	12|6|12|12	12|9|12|12	1|1|1|1	1	5962	6100|0|1	T_UI_Puanluan.img	击败敌方都尉	守住都尉	刘邕	都尉	    东汉献帝建安十八年(213年)置江阳郡，治江阳县。	1019	益州南	山地
15001	越隽	14009	15002			1	2	30171	2400	40	"0,1"	2	2220	越隽郡	5	36000	1	100000	MedianCity_Yuejun	LocalName_YueJun	CM_Yuejun	UI_GK_Anding.img	Border_Yuejun		0	TiaoMu_Yuejun	200	sw_Area_Yuejun	15|3|15|15	15|9|15|15	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	高定	太守	    西汉旧郡。建兴元年（223）治安上县，延熙二年还治邛都，领县十一。	1016	南中	山地
15002	朱提	15001	15003	15004		1	2	30109	2400	40	"0,1"	2	2220	朱提郡	5	39000	3	100000	MedianCity_Shushi	LocalName_ShuShi	CM_Shushi	UI_GK_Chencang.img	Border_Shushi		0	TiaoMu_Shushi	200	sw_Area_Shushi	15|2|15|15	15|9|15|15	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	朱褒	太守	    东汉建安十九年(公元214)改犍为属国为朱提郡。治朱提。	1016	南中	城郭
15003	建宁	15002	15004			1	2	30110	2400	40	"0,1"	2	2220	建宁郡	5	39000	1	100000	MedianCity_Jianning	LocalName_JianNing	CM_Jianning	UI_GK_Guiyang.img	Border_Jianning		0	TiaoMu_Jianning	200	sw_Area_Jianning	15|2|15|15	15|9|15|15	1|2|3|4	2	14448	6102|0|1	T_UI_Puanluan.img	攻破敌方政厅	守住政厅	正昂	太守	    又名益州郡，是古王国滇国的领地，汉武帝时设立一周军，汉末三国时期改名为建宁郡。	1016	南中	山地
