将卡	神器Abstractid	组合名称	描述	备注	攻速	CD缩减	移动速度	护甲值	法术抗性	格挡几率	攻击力	生命值	暴击率	闪避率	攻城攻击力	攻击距离	命中率	穿透	法术穿透	潜行	反潜行	视野	无视闪避	反弹物伤	反弹法伤	物理吸血	法术吸血	暴击剑	溅射	物伤加深	法伤加深	abstractid	物伤加成	法伤加成	回复效果
|9734|9735|9736|9737|9738|9739|	|50430|	冷艳锯	攻击+15.5%/n从背后攻击敌方单位增加自身80%攻速，持续5秒；对携带关羽将卡单位造成额外60%伤害	吕蒙							155																					23035			
|9654|9655|9656|9657|9658|9659|	|50430|	冷艳锯	生命+15.5%/n普通攻击暴击时，提高周围5米范围内己方单位45%物伤加成、20%生命上限和50%基础暴击，持续5秒	潘璋								155																				23445			
|10064|10065|10066|10067|10068|10069|	|50430|	冷艳锯	护甲+15.5%/n自身血量高于55%时，普通攻击有55%概率提高自身50%攻速，持续8秒	颜良				155																								23115			
|8074|8075|8076|8077|8078|8079|	|50431|	冷艳锯	生命+16%/n自身血量低于20%时，释放技能回复20%生命	夏侯惇								160																				23215			
|8094|8095|8096|8097|8098|8099|	|50431|	冷艳锯	攻击+16%/n释放技能时，提高自身30%血量和攻击，持续5秒/n攻击眩晕单位回复自身4%生命	张辽							160																					23235			
|8514|8515|8516|8517|8518|8519|	|50431|	冷艳锯	攻击+16%/n释放技能时，提高自身30%攻击和攻速，持续5秒	关羽							160																					23305			
|9734|9735|9736|9737|9738|9739|	|50431|	冷艳锯	攻击+16%/n从背后攻击敌方单位增加自身80%攻速，持续5秒；对携带关羽将卡单位造成额外60%伤害	吕蒙							160																					23035			
|9654|9655|9656|9657|9658|9659|	|50431|	冷艳锯	生命+16%/n普通攻击暴击时，提高周围5米范围内己方单位45%物伤加成、20%生命上限和50%基础暴击，持续5秒	潘璋								160																				23445			
|10064|10065|10066|10067|10068|10069|	|50431|	冷艳锯	护甲+16%/n自身血量高于55%时，普通攻击有55%概率提高自身50%攻速，持续8秒	颜良				160																								23115			
|8074|8075|8076|8077|8078|8079|	|50432|	冷艳锯	生命+16.5%/n自身血量低于20%时，释放技能回复20%生命	夏侯惇								165																				23215			
|8094|8095|8096|8097|8098|8099|	|50432|	冷艳锯	攻击+16.5%/n释放技能时，提高自身30%血量和攻击，持续5秒/n攻击眩晕单位回复自身4%生命	张辽							165																					23235			
|8514|8515|8516|8517|8518|8519|	|50432|	冷艳锯	攻击+16.5%/n释放技能时，提高自身30%攻击和攻速，持续5秒	关羽							165																					23305			
|9734|9735|9736|9737|9738|9739|	|50432|	冷艳锯	攻击+16.5%/n从背后攻击敌方单位增加自身80%攻速，持续5秒；对携带关羽将卡单位造成额外60%伤害	吕蒙							165																					23035			
|9654|9655|9656|9657|9658|9659|	|50432|	冷艳锯	生命+16.5%/n普通攻击暴击时，提高周围5米范围内己方单位45%物伤加成、20%生命上限和50%基础暴击，持续5秒	潘璋								165																				23445			
|10064|10065|10066|10067|10068|10069|	|50432|	冷艳锯	护甲+16.5%/n自身血量高于55%时，普通攻击有55%概率提高自身50%攻速，持续8秒	颜良				165																								23115			
|8074|8075|8076|8077|8078|8079|	|50433|	冷艳锯	生命+17%/n自身血量低于20%时，释放技能回复20%生命	夏侯惇								170																				23215			
|8094|8095|8096|8097|8098|8099|	|50433|	冷艳锯	攻击+17%/n释放技能时，提高自身30%血量和攻击，持续5秒/n攻击眩晕单位回复自身4%生命	张辽							170																					23235			
|8514|8515|8516|8517|8518|8519|	|50433|	冷艳锯	攻击+17%/n释放技能时，提高自身30%攻击和攻速，持续5秒	关羽							170																					23305			
|9734|9735|9736|9737|9738|9739|	|50433|	冷艳锯	攻击+17%/n从背后攻击敌方单位增加自身80%攻速，持续5秒；对携带关羽将卡单位造成额外60%伤害	吕蒙							170																					23035			
|9654|9655|9656|9657|9658|9659|	|50433|	冷艳锯	生命+17%/n普通攻击暴击时，提高周围5米范围内己方单位45%物伤加成、20%生命上限和50%基础暴击，持续5秒	潘璋								170																				23445			
|10064|10065|10066|10067|10068|10069|	|50433|	冷艳锯	护甲+17%/n自身血量高于55%时，普通攻击有55%概率提高自身50%攻速，持续8秒	颜良				170																								23115			
|8074|8075|8076|8077|8078|8079|	|50434|	冷艳锯	生命+17.5%/n自身血量低于20%时，释放技能回复20%生命	夏侯惇								175																				23215			
|8094|8095|8096|8097|8098|8099|	|50434|	冷艳锯	攻击+17.5%/n释放技能时，提高自身30%血量和攻击，持续5秒/n攻击眩晕单位回复自身4%生命	张辽							175																					23235			
|8514|8515|8516|8517|8518|8519|	|50434|	冷艳锯	攻击+17.5%/n释放技能时，提高自身30%攻击和攻速，持续5秒	关羽							175																					23305			
|9734|9735|9736|9737|9738|9739|	|50434|	冷艳锯	攻击+17.5%/n从背后攻击敌方单位增加自身80%攻速，持续5秒；对携带关羽将卡单位造成额外60%伤害	吕蒙							175																					23035			
|9654|9655|9656|9657|9658|9659|	|50434|	冷艳锯	生命+17.5%/n普通攻击暴击时，提高周围5米范围内己方单位45%物伤加成、20%生命上限和50%基础暴击，持续5秒	潘璋								175																				23445			
|10064|10065|10066|10067|10068|10069|	|50434|	冷艳锯	护甲+17.5%/n自身血量高于55%时，普通攻击有55%概率提高自身50%攻速，持续8秒	颜良				175																								23115			
|8074|8075|8076|8077|8078|8079|	|50435|	冷艳锯	生命+18%/n自身血量低于22%时，释放技能回复22%生命	夏侯惇								180																				23216			
|8094|8095|8096|8097|8098|8099|	|50435|	冷艳锯	攻击+18%/n释放技能时，提高自身35%血量和攻击，持续5秒/n攻击眩晕单位回复自身5%生命	张辽							180																					23236			
|8514|8515|8516|8517|8518|8519|	|50435|	冷艳锯	攻击+18%/n释放技能时，提高自身35%攻击和攻速，持续5秒	关羽							180																					23306			
|9734|9735|9736|9737|9738|9739|	|50435|	冷艳锯	攻击+18%/n从背后攻击敌方单位增加自身100%攻速，持续5秒；对携带关羽将卡单位造成额外70%伤害	吕蒙							180																					23036			
|9654|9655|9656|9657|9658|9659|	|50435|	冷艳锯	生命+18%/n普通攻击暴击时，提高周围5米范围内己方单位50%物伤加成、25%生命上限和100%基础暴击，持续5秒	潘璋								180																				23446			
|10064|10065|10066|10067|10068|10069|	|50435|	冷艳锯	护甲+18%/n自身血量高于50%时，普通攻击有60%概率提高自身50%攻速，持续8秒	颜良				180																								23116			
|8074|8075|8076|8077|8078|8079|	|50436|	冷艳锯	生命+18.5%/n自身血量低于22%时，释放技能回复22%生命	夏侯惇								185																				23216			
|8094|8095|8096|8097|8098|8099|	|50436|	冷艳锯	攻击+18.5%/n释放技能时，提高自身35%血量和攻击，持续5秒/n攻击眩晕单位回复自身5%生命	张辽							185																					23236			
|8514|8515|8516|8517|8518|8519|	|50436|	冷艳锯	攻击+18.5%/n释放技能时，提高自身35%攻击和攻速，持续5秒	关羽							185																					23306			
|9734|9735|9736|9737|9738|9739|	|50436|	冷艳锯	攻击+18.5%/n从背后攻击敌方单位增加自身100%攻速，持续5秒；对携带关羽将卡单位造成额外70%伤害	吕蒙							185																					23036			
|9654|9655|9656|9657|9658|9659|	|50436|	冷艳锯	生命+18.5%/n普通攻击暴击时，提高周围5米范围内己方单位50%物伤加成、25%生命上限和100%基础暴击，持续5秒	潘璋								185																				23446			
|10064|10065|10066|10067|10068|10069|	|50436|	冷艳锯	护甲+18.5%/n自身血量高于50%时，普通攻击有60%概率提高自身50%攻速，持续8秒	颜良				185																								23116			
|8074|8075|8076|8077|8078|8079|	|50437|	冷艳锯	生命+19%/n自身血量低于22%时，释放技能回复22%生命	夏侯惇								190																				23216			
|8094|8095|8096|8097|8098|8099|	|50437|	冷艳锯	攻击+19%/n释放技能时，提高自身35%血量和攻击，持续5秒/n攻击眩晕单位回复自身5%生命	张辽							190																					23236			
|8514|8515|8516|8517|8518|8519|	|50437|	冷艳锯	攻击+19%/n释放技能时，提高自身35%攻击和攻速，持续5秒	关羽							190																					23306			
|9734|9735|9736|9737|9738|9739|	|50437|	冷艳锯	攻击+19%/n从背后攻击敌方单位增加自身100%攻速，持续5秒；对携带关羽将卡单位造成额外70%伤害	吕蒙							190																					23036			
|9654|9655|9656|9657|9658|9659|	|50437|	冷艳锯	生命+19%/n普通攻击暴击时，提高周围5米范围内己方单位50%物伤加成、25%生命上限和100%基础暴击，持续5秒	潘璋								190																				23446			
|10064|10065|10066|10067|10068|10069|	|50437|	冷艳锯	护甲+19%/n自身血量高于50%时，普通攻击有60%概率提高自身50%攻速，持续8秒	颜良				190																								23116			
|8074|8075|8076|8077|8078|8079|	|50438|	冷艳锯	生命+20%/n自身血量低于22%时，释放技能回复22%生命	夏侯惇								200																				23216			
|8094|8095|8096|8097|8098|8099|	|50438|	冷艳锯	攻击+20%/n释放技能时，提高自身35%血量和攻击，持续5秒/n攻击眩晕单位回复自身5%生命	张辽							200																					23236			
|8514|8515|8516|8517|8518|8519|	|50438|	冷艳锯	攻击+20%/n释放技能时，提高自身35%攻击和攻速，持续5秒	关羽							200																					23306			
|9734|9735|9736|9737|9738|9739|	|50438|	冷艳锯	攻击+20%/n从背后攻击敌方单位增加自身100%攻速，持续5秒；对携带关羽将卡单位造成额外70%伤害	吕蒙							200																					23036			
|9654|9655|9656|9657|9658|9659|	|50438|	冷艳锯	生命+20%/n普通攻击暴击时，提高周围5米范围内己方单位50%物伤加成、25%生命上限和100%基础暴击，持续5秒	潘璋								200																				23446			
|10064|10065|10066|10067|10068|10069|	|50438|	冷艳锯	护甲+20%/n自身血量高于50%时，普通攻击有60%概率提高自身50%攻速，持续8秒	颜良				200																								23116			
|8074|8075|8076|8077|8078|8079|	|50439|	冷艳锯	生命+25%/n自身血量低于24%时，释放技能回复24%生命	夏侯惇								250																				23217			
|8094|8095|8096|8097|8098|8099|	|50439|	冷艳锯	攻击+25%/n释放技能时，提高自身40%血量和攻击，持续5秒/n攻击眩晕单位回复自身7%生命	张辽							250																					23237			
|8514|8515|8516|8517|8518|8519|	|50439|	冷艳锯	攻击+25%/n释放技能时，提高自身40%攻击和攻速，持续5秒	关羽							250																					23307			
|9734|9735|9736|9737|9738|9739|	|50439|	冷艳锯	攻击+25%/n从背后攻击敌方单位增加自身120%攻速，持续5秒；对携带关羽将卡单位造成额外80%伤害	吕蒙							250																					23037			
|9654|9655|9656|9657|9658|9659|	|50439|	冷艳锯	生命+25%/n普通攻击暴击时，提高周围5米范围内己方单位60%物伤加成、30%生命上限和200%基础暴击，持续5秒	潘璋								250																				23447			
|10064|10065|10066|10067|10068|10069|	|50439|	冷艳锯	护甲+25%/n自身血量高于45%时，普通攻击有65%概率提高自身50%攻速，持续8秒	颜良				250																								23117			
|8104|8105|8106|8107|8108|8109|	|50500|	方天画戟	生命+0.5%	徐晃								5																							
|8544|8545|8546|8547|8548|8549|	|50500|	方天画戟	攻速+0.5%	马超	5																														
|9514|9515|9516|9517|9518|9519|	|50500|	方天画戟	攻速+0.5%	孙策	5																														
|9564|9565|9566|9567|9568|9569|	|50500|	方天画戟	穿透+0.5%	太史慈														5																	
|10014|10015|10016|10017|10018|10019|	|50500|	方天画戟	攻击+0.5%，攻城攻击+0.5%	吕布							5				5																				
|10314|10315|10316|10317|10318|10319|	|50500|	方天画戟	护甲+0.5%	潘凤				5																											
|8104|8105|8106|8107|8108|8109|	|50501|	方天画戟	生命+1%	徐晃								10																							
|8544|8545|8546|8547|8548|8549|	|50501|	方天画戟	攻速+1%	马超	10																														
|9514|9515|9516|9517|9518|9519|	|50501|	方天画戟	攻速+1%	孙策	10																														
|9564|9565|9566|9567|9568|9569|	|50501|	方天画戟	穿透+1%	太史慈														10																	
|10014|10015|10016|10017|10018|10019|	|50501|	方天画戟	攻击+1%，攻城攻击+1%	吕布							10				10																				
|10314|10315|10316|10317|10318|10319|	|50501|	方天画戟	护甲+1%	潘凤				10																											
|8104|8105|8106|8107|8108|8109|	|50502|	方天画戟	生命+1.5%	徐晃								15																							
|8544|8545|8546|8547|8548|8549|	|50502|	方天画戟	攻速+1.5%	马超	15																														
|9514|9515|9516|9517|9518|9519|	|50502|	方天画戟	攻速+1.5%	孙策	15																														
|9564|9565|9566|9567|9568|9569|	|50502|	方天画戟	穿透+1.5%	太史慈														15																	
|10014|10015|10016|10017|10018|10019|	|50502|	方天画戟	攻击+1.5%，攻城攻击+1.5%	吕布							15				15																				
|10314|10315|10316|10317|10318|10319|	|50502|	方天画戟	护甲+1.5%	潘凤				15																											
|8104|8105|8106|8107|8108|8109|	|50503|	方天画戟	生命+2%	徐晃								20																							
|8544|8545|8546|8547|8548|8549|	|50503|	方天画戟	攻速+2%	马超	20																														
|9514|9515|9516|9517|9518|9519|	|50503|	方天画戟	攻速+2%	孙策	20																														
|9564|9565|9566|9567|9568|9569|	|50503|	方天画戟	穿透+2%	太史慈														20																	
|10014|10015|10016|10017|10018|10019|	|50503|	方天画戟	攻击+2%，攻城攻击+2%	吕布							20				20																				
|10314|10315|10316|10317|10318|10319|	|50503|	方天画戟	护甲+2%	潘凤				20																											
|8104|8105|8106|8107|8108|8109|	|50504|	方天画戟	生命+2.5%	徐晃								25																							
|8544|8545|8546|8547|8548|8549|	|50504|	方天画戟	攻速+2.5%	马超	25																														
|9514|9515|9516|9517|9518|9519|	|50504|	方天画戟	攻速+2.5%	孙策	25																														
|9564|9565|9566|9567|9568|9569|	|50504|	方天画戟	穿透+2.5%	太史慈														25																	
|10014|10015|10016|10017|10018|10019|	|50504|	方天画戟	攻击+2.5%，攻城攻击+2.5%	吕布							25				25																				
|10314|10315|10316|10317|10318|10319|	|50504|	方天画戟	护甲+2.5%	潘凤				25																											
|8104|8105|8106|8107|8108|8109|	|50505|	方天画戟	生命+3%/n自身骑兵部队被远程攻击有4%的概率回复1%的生命值	徐晃								30																				23240			
|8544|8545|8546|8547|8548|8549|	|50505|	方天画戟	攻速+3%/n普通攻击有5%概率提高自身周围7米范围内己方西凉铁骑10%血量和攻速，持续10秒	马超	30																											23330			
|9514|9515|9516|9517|9518|9519|	|50505|	方天画戟	攻速+3%/n普通攻击有10%概率提高自身10%攻击，持续5秒	孙策	30																											23000			
|9564|9565|9566|9567|9568|9569|	|50505|	方天画戟	穿透+3%/n普通攻击有12%概率提高自身50%攻速，持续5秒	太史慈														30														23070			
|10014|10015|10016|10017|10018|10019|	|50505|	方天画戟	攻击+3%，攻城攻击+3%/n吕布技能对血量低于20%的单位造成额外20%伤害	吕布							30				30																	23190			
|10314|10315|10316|10317|10318|10319|	|50505|	方天画戟	护甲+3%/n普通攻击有12%概率嘲讽敌方3秒	潘凤				30																								23430			
|8104|8105|8106|8107|8108|8109|	|50506|	方天画戟	生命+3.5%/n自身骑兵部队被远程攻击有4%的概率回复1%的生命值	徐晃								35																				23240			
|8544|8545|8546|8547|8548|8549|	|50506|	方天画戟	攻速+3.5%/n普通攻击有5%概率提高自身周围7米范围内己方西凉铁骑10%血量和攻速，持续10秒	马超	35																											23330			
|9514|9515|9516|9517|9518|9519|	|50506|	方天画戟	攻速+3.5%/n普通攻击有10%概率提高自身10%攻击，持续5秒	孙策	35																											23000			
|9564|9565|9566|9567|9568|9569|	|50506|	方天画戟	穿透+3.5%/n普通攻击有12%概率提高自身50%攻速，持续5秒	太史慈														35														23070			
|10014|10015|10016|10017|10018|10019|	|50506|	方天画戟	攻击+3.5%，攻城攻击+3.5%/n吕布技能对血量低于20%的单位造成额外20%伤害	吕布							35				35																	23190			
|10314|10315|10316|10317|10318|10319|	|50506|	方天画戟	护甲+3.5%/n普通攻击有12%概率嘲讽敌方3秒	潘凤				35																								23430			
|8104|8105|8106|8107|8108|8109|	|50507|	方天画戟	生命+4%/n自身骑兵部队被远程攻击有4%的概率回复1%的生命值	徐晃								40																				23240			
|8544|8545|8546|8547|8548|8549|	|50507|	方天画戟	攻速+4%/n普通攻击有5%概率提高自身周围7米范围内己方西凉铁骑10%血量和攻速，持续10秒	马超	40																											23330			
|9514|9515|9516|9517|9518|9519|	|50507|	方天画戟	攻速+4%/n普通攻击有10%概率提高自身10%攻击，持续5秒	孙策	40																											23000			
|9564|9565|9566|9567|9568|9569|	|50507|	方天画戟	穿透+4%/n普通攻击有12%概率提高自身50%攻速，持续5秒	太史慈														40														23070			
|10014|10015|10016|10017|10018|10019|	|50507|	方天画戟	攻击+4%，攻城攻击+4%/n吕布技能对血量低于20%的单位造成额外20%伤害	吕布							40				40																	23190			
|10314|10315|10316|10317|10318|10319|	|50507|	方天画戟	护甲+4%/n普通攻击有12%概率嘲讽敌方3秒	潘凤				40																								23430			
|8104|8105|8106|8107|8108|8109|	|50508|	方天画戟	生命+4.5%/n自身骑兵部队被远程攻击有4%的概率回复1%的生命值	徐晃								45																				23240			
|8544|8545|8546|8547|8548|8549|	|50508|	方天画戟	攻速+4.5%/n普通攻击有5%概率提高自身周围7米范围内己方西凉铁骑10%血量和攻速，持续10秒	马超	45																											23330			
|9514|9515|9516|9517|9518|9519|	|50508|	方天画戟	攻速+4.5%/n普通攻击有10%概率提高自身10%攻击，持续5秒	孙策	45																											23000			
|9564|9565|9566|9567|9568|9569|	|50508|	方天画戟	穿透+4.5%/n普通攻击有12%概率提高自身50%攻速，持续5秒	太史慈														45														23070			
|10014|10015|10016|10017|10018|10019|	|50508|	方天画戟	攻击+4.5%，攻城攻击+4.5%/n吕布技能对血量低于20%的单位造成额外20%伤害	吕布							45				45																	23190			
|10314|10315|10316|10317|10318|10319|	|50508|	方天画戟	护甲+4.5%/n普通攻击有12%概率嘲讽敌方3秒	潘凤				45																								23430			
|8104|8105|8106|8107|8108|8109|	|50509|	方天画戟	生命+5%/n自身骑兵部队被远程攻击有4%的概率回复1%的生命值	徐晃								50																				23240			
|8544|8545|8546|8547|8548|8549|	|50509|	方天画戟	攻速+5%/n普通攻击有5%概率提高自身周围7米范围内己方西凉铁骑10%血量和攻速，持续10秒	马超	50																											23330			
|9514|9515|9516|9517|9518|9519|	|50509|	方天画戟	攻速+5%/n普通攻击有10%概率提高自身10%攻击，持续5秒	孙策	50																											23000			
|9564|9565|9566|9567|9568|9569|	|50509|	方天画戟	穿透+5%/n普通攻击有12%概率提高自身50%攻速，持续5秒	太史慈														50														23070			
|10014|10015|10016|10017|10018|10019|	|50509|	方天画戟	攻击+5%，攻城攻击+5%/n吕布技能对血量低于20%的单位造成额外20%伤害	吕布							50				50																	23190			
|10314|10315|10316|10317|10318|10319|	|50509|	方天画戟	护甲+5%/n普通攻击有12%概率嘲讽敌方3秒	潘凤				50																								23430			
|8104|8105|8106|8107|8108|8109|	|50510|	方天画戟	生命+5.5%/n自身骑兵部队被远程攻击有8%的概率回复1.2%的生命值	徐晃								55																				23241			
|8544|8545|8546|8547|8548|8549|	|50510|	方天画戟	攻速+5.5%/n普通攻击有10%概率提高自身周围7米范围内己方西凉铁骑15%血量和攻速，持续10秒	马超	55																											23331			
|9514|9515|9516|9517|9518|9519|	|50510|	方天画戟	攻速+5.5%/n普通攻击有13%概率提高自身15%攻击，持续6秒	孙策	55																											23001			
|9564|9565|9566|9567|9568|9569|	|50510|	方天画戟	穿透+5.5%/n普通攻击有14%概率提高自身50%攻速，持续5秒	太史慈														55														23071			
|10014|10015|10016|10017|10018|10019|	|50510|	方天画戟	攻击+5.5%，攻城攻击+5.5%/n吕布技能对血量低于25%的单位造成额外30%伤害	吕布							55				55																	23191			
|10314|10315|10316|10317|10318|10319|	|50510|	方天画戟	护甲+5.5%/n普通攻击有15%概率嘲讽敌方，且降低其30%护甲，持续3秒	潘凤				55																								23431			
|8104|8105|8106|8107|8108|8109|	|50511|	方天画戟	生命+6%/n自身骑兵部队被远程攻击有8%的概率回复1.2%的生命值	徐晃								60																				23241			
|8544|8545|8546|8547|8548|8549|	|50511|	方天画戟	攻速+6%/n普通攻击有10%概率提高自身周围7米范围内己方西凉铁骑15%血量和攻速，持续10秒	马超	60																											23331			
|9514|9515|9516|9517|9518|9519|	|50511|	方天画戟	攻速+6%/n普通攻击有13%概率提高自身15%攻击，持续6秒	孙策	60																											23001			
|9564|9565|9566|9567|9568|9569|	|50511|	方天画戟	穿透+6%/n普通攻击有14%概率提高自身50%攻速，持续5秒	太史慈														60														23071			
|10014|10015|10016|10017|10018|10019|	|50511|	方天画戟	攻击+6%，攻城攻击+6%/n吕布技能对血量低于25%的单位造成额外30%伤害	吕布							60				60																	23191			
|10314|10315|10316|10317|10318|10319|	|50511|	方天画戟	护甲+6%/n普通攻击有15%概率嘲讽敌方，且降低其30%护甲，持续3秒	潘凤				60																								23431			
|8104|8105|8106|8107|8108|8109|	|50512|	方天画戟	生命+6.5%/n自身骑兵部队被远程攻击有8%的概率回复1.2%的生命值	徐晃								65																				23241			
|8544|8545|8546|8547|8548|8549|	|50512|	方天画戟	攻速+6.5%/n普通攻击有10%概率提高自身周围7米范围内己方西凉铁骑15%血量和攻速，持续10秒	马超	65																											23331			
|9514|9515|9516|9517|9518|9519|	|50512|	方天画戟	攻速+6.5%/n普通攻击有13%概率提高自身15%攻击，持续6秒	孙策	65																											23001			
|9564|9565|9566|9567|9568|9569|	|50512|	方天画戟	穿透+6.5%/n普通攻击有14%概率提高自身50%攻速，持续5秒	太史慈														65														23071			
|10014|10015|10016|10017|10018|10019|	|50512|	方天画戟	攻击+6.5%，攻城攻击+6.5%/n吕布技能对血量低于25%的单位造成额外30%伤害	吕布							65				65																	23191			
|10314|10315|10316|10317|10318|10319|	|50512|	方天画戟	护甲+6.5%/n普通攻击有15%概率嘲讽敌方，且降低其30%护甲，持续3秒	潘凤				65																								23431			
|8104|8105|8106|8107|8108|8109|	|50513|	方天画戟	生命+7%/n自身骑兵部队被远程攻击有8%的概率回复1.2%的生命值	徐晃								70																				23241			
|8544|8545|8546|8547|8548|8549|	|50513|	方天画戟	攻速+7%/n普通攻击有10%概率提高自身周围7米范围内己方西凉铁骑15%血量和攻速，持续10秒	马超	70																											23331			
|9514|9515|9516|9517|9518|9519|	|50513|	方天画戟	攻速+7%/n普通攻击有13%概率提高自身15%攻击，持续6秒	孙策	70																											23001			
|9564|9565|9566|9567|9568|9569|	|50513|	方天画戟	穿透+7%/n普通攻击有14%概率提高自身50%攻速，持续5秒	太史慈														70														23071			
|10014|10015|10016|10017|10018|10019|	|50513|	方天画戟	攻击+7%，攻城攻击+7%/n吕布技能对血量低于25%的单位造成额外30%伤害	吕布							70				70																	23191			
|10314|10315|10316|10317|10318|10319|	|50513|	方天画戟	护甲+7%/n普通攻击有15%概率嘲讽敌方，且降低其30%护甲，持续3秒	潘凤				70																								23431			
|8104|8105|8106|8107|8108|8109|	|50514|	方天画戟	生命+7.5%/n自身骑兵部队被远程攻击有8%的概率回复1.2%的生命值	徐晃								75																				23241			
|8544|8545|8546|8547|8548|8549|	|50514|	方天画戟	攻速+7.5%/n普通攻击有10%概率提高自身周围7米范围内己方西凉铁骑15%血量和攻速，持续10秒	马超	75																											23331			
|9514|9515|9516|9517|9518|9519|	|50514|	方天画戟	攻速+7.5%/n普通攻击有16%概率提高自身15%攻击，持续7秒	孙策	75																											23001			
|9564|9565|9566|9567|9568|9569|	|50514|	方天画戟	穿透+7.5%/n普通攻击有14%概率提高自身50%攻速，持续5秒	太史慈														75														23071			
|10014|10015|10016|10017|10018|10019|	|50514|	方天画戟	攻击+7.5%，攻城攻击+7.5%/n吕布技能对血量低于25%的单位造成额外30%伤害	吕布							75				75																	23191			
|10314|10315|10316|10317|10318|10319|	|50514|	方天画戟	护甲+7.5%/n普通攻击有15%概率嘲讽敌方，且降低其30%护甲，持续3秒	潘凤				75																								23431			
|8104|8105|8106|8107|8108|8109|	|50515|	方天画戟	生命+8%/n自身骑兵部队被远程攻击有12%的概率回复1.4%的生命值	徐晃								80																				23242			
|8544|8545|8546|8547|8548|8549|	|50515|	方天画戟	攻速+8%/n普通攻击有15%概率提高自身周围7米范围内己方西凉铁骑20%血量和攻速，持续10秒	马超	80																											23332			
|9514|9515|9516|9517|9518|9519|	|50515|	方天画戟	攻速+8%/n普通攻击有16%概率提高自身20%攻击，持续7秒	孙策	80																											23002			
|9564|9565|9566|9567|9568|9569|	|50515|	方天画戟	穿透+8%/n普通攻击有16%概率提高自身50%攻速，持续5秒	太史慈														80														23072			
|10014|10015|10016|10017|10018|10019|	|50515|	方天画戟	攻击+8%，攻城攻击+8%/n吕布技能对血量低于30%的单位造成额外40%伤害	吕布							80				80																	23192			
|10314|10315|10316|10317|10318|10319|	|50515|	方天画戟	护甲+8%/n普通攻击有18%概率嘲讽敌方，且降低其40%护甲，持续3秒	潘凤				80																								23432			
|8104|8105|8106|8107|8108|8109|	|50516|	方天画戟	生命+8.5%/n自身骑兵部队被远程攻击有12%的概率回复1.4%的生命值	徐晃								85																				23242			
|8544|8545|8546|8547|8548|8549|	|50516|	方天画戟	攻速+8.5%/n普通攻击有15%概率提高自身周围7米范围内己方西凉铁骑20%血量和攻速，持续10秒	马超	85																											23332			
|9514|9515|9516|9517|9518|9519|	|50516|	方天画戟	攻速+8.5%/n普通攻击有16%概率提高自身20%攻击，持续7秒	孙策	85																											23002			
|9564|9565|9566|9567|9568|9569|	|50516|	方天画戟	穿透+8.5%/n普通攻击有16%概率提高自身50%攻速，持续5秒	太史慈														85														23072			
|10014|10015|10016|10017|10018|10019|	|50516|	方天画戟	攻击+8.5%，攻城攻击+8.5%/n吕布技能对血量低于30%的单位造成额外40%伤害	吕布							85				85																	23192			
|10314|10315|10316|10317|10318|10319|	|50516|	方天画戟	护甲+8.5%/n普通攻击有18%概率嘲讽敌方，且降低其40%护甲，持续3秒	潘凤				85																								23432			
|8104|8105|8106|8107|8108|8109|	|50517|	方天画戟	生命+9%/n自身骑兵部队被远程攻击有12%的概率回复1.4%的生命值	徐晃								90																				23242			
|8544|8545|8546|8547|8548|8549|	|50517|	方天画戟	攻速+9%/n普通攻击有15%概率提高自身周围7米范围内己方西凉铁骑20%血量和攻速，持续10秒	马超	90																											23332			
|9514|9515|9516|9517|9518|9519|	|50517|	方天画戟	攻速+9%/n普通攻击有16%概率提高自身20%攻击，持续7秒	孙策	90																											23002			
|9564|9565|9566|9567|9568|9569|	|50517|	方天画戟	穿透+9%/n普通攻击有16%概率提高自身50%攻速，持续5秒	太史慈														90														23072			
|10014|10015|10016|10017|10018|10019|	|50517|	方天画戟	攻击+9%，攻城攻击+9%/n吕布技能对血量低于30%的单位造成额外40%伤害	吕布							90				90																	23192			
|10314|10315|10316|10317|10318|10319|	|50517|	方天画戟	护甲+9%/n普通攻击有18%概率嘲讽敌方，且降低其40%护甲，持续3秒	潘凤				90																								23432			
|8104|8105|8106|8107|8108|8109|	|50518|	方天画戟	生命+9.5%/n自身骑兵部队被远程攻击有12%的概率回复1.4%的生命值	徐晃								95																				23242			
|8544|8545|8546|8547|8548|8549|	|50518|	方天画戟	攻速+9.5%/n普通攻击有15%概率提高自身周围7米范围内己方西凉铁骑20%血量和攻速，持续10秒	马超	95																											23332			
|9514|9515|9516|9517|9518|9519|	|50518|	方天画戟	攻速+9.5%/n普通攻击有16%概率提高自身20%攻击，持续7秒	孙策	95																											23002			
|9564|9565|9566|9567|9568|9569|	|50518|	方天画戟	穿透+9.5%/n普通攻击有16%概率提高自身50%攻速，持续5秒	太史慈														95														23072			
|10014|10015|10016|10017|10018|10019|	|50518|	方天画戟	攻击+9.5%，攻城攻击+9.5%/n吕布技能对血量低于30%的单位造成额外40%伤害	吕布							95				95																	23192			
|10314|10315|10316|10317|10318|10319|	|50518|	方天画戟	护甲+9.5%/n普通攻击有18%概率嘲讽敌方，且降低其40%护甲，持续3秒	潘凤				95																								23432			
|8104|8105|8106|8107|8108|8109|	|50519|	方天画戟	生命+10%/n自身骑兵部队被远程攻击有12%的概率回复1.4%的生命值	徐晃								100																				23242			
